"","egoID","from.alter","alt.alt.tie","egoalt_relation","egoalt_relate_othr","alter.initial","to.alter"
"4239",1652,"165201",NA,"1","","as","165206"
"4240",1654,"165401",NA,"8","academic","nl","165406"
"4241",1656,"165601",0,"6","","cr","165606"
"4242",1658,"165801",NA,"1","","ec","165806"
"4243",1659,"165901",9,"1","","td","165906"
"4244",1660,"166001",0,"1","","lf","166006"
"4245",1661,"166101",10,"1","","tr","166106"
"4246",1663,"166301",NA,"1","","da","166306"
"4247",1664,"166401",9,"1","","jp","166406"
"4248",1665,"166501",10,"1","","pl","166506"
"4249",1667,"166701",10,"1","","nc","166706"
"4250",1668,"166801",0,"8","academic","st","166806"
"4251",1669,"166901",NA,"1","","cr","166906"
"4252",1671,"167101",10,"1","","as","167106"
"4253",1672,"167201",NA,"1","","cc","167206"
"4254",1673,"167301",NA,"1","","cc","167306"
"4255",1674,"167401",NA,"1","","jee","167406"
"4256",1677,"167701",NA,"1","","st","167706"
"4257",1678,"167801",0,"5","","js","167806"
"4258",1680,"168001",10,"5","","cpm","168006"
"4259",1682,"168201",NA,"1","","tg","168206"
"4260",1686,"168601",NA,"1","","bk","168606"
"4261",1687,"168701",NA,"8","academic","tb","168706"
"4262",1688,"168801",NA,"1","","bw","168806"
"4263",1690,"169001",NA,"1","","mom","169006"
"4264",1692,"169201",4,"6","","lb","169206"
"4265",1694,"169401",NA,"5","","cd","169406"
"4266",1695,"169501",0,"1","","gd","169506"
"4267",1697,"169701",NA,"1","","jp","169706"
"4268",1699,"169901",NA,"5","","ks","169906"
"4269",1700,"170001",10,"1","","bh","170006"
"4270",1701,"170101",10,"1","","lb","170106"
"4271",1702,"170201",NA,"1","","ag","170206"
"4272",1703,"170301",NA,"4","","bd","170306"
"4273",1704,"170401",NA,"4","","ac","170406"
"4274",1705,"170501",10,"1","","dc","170506"
"4275",1708,"170801",1,"1","","jw","170806"
"4276",1709,"170901",NA,"1","","c.r.","170906"
"4277",1710,"171001",NA,"1","","ms","171006"
"4278",1713,"171301",10,"1","","rs","171306"
"4279",1714,"171401",NA,"1","","sd","171406"
"4280",1715,"171501",NA,"6","","eg","171506"
"4281",1718,"171801",NA,"1","","aj","171806"
"4282",1720,"172001",NA,"1","","et","172006"
"4283",1721,"172101",10,"1","","ll","172106"
"4284",1723,"172301",10,"1","","sg","172306"
"4285",1724,"172401",-5,"6","","j","172406"
"4286",1726,"172601",NA,"1","","ml","172606"
"4287",1727,"172701",NA,"5","","nb","172706"
"4288",1729,"172901",NA,"1","","kb","172906"
"4289",1730,"173001",NA,"1","","ah","173006"
"4290",1731,"173101",7,"1","","nc","173106"
"4291",1734,"173401",NA,"1","","em","173406"
"4292",1740,"174001",8,"1","","af","174006"
"4293",1741,"174101",3,"5","","aj","174106"
"4294",1742,"174201",0,"1","","dm","174206"
"4295",1743,"174301",10,"1","","dt","174306"
"4296",1744,"174401",5,"6","","ms","174406"
"4297",1745,"174501",6,"4","","jp","174506"
"4298",1747,"174701",NA,"1","","et","174706"
"4299",1748,"174801",10,"1","","aj","174806"
"4300",1749,"174901",8,"1","","sb","174906"
"4301",1750,"175001",NA,"8","academic","rs","175006"
"4302",1751,"175101",0,"5","","bp","175106"
"4303",1752,"175201",NA,"1","","mm","175206"
"4304",1753,"175301",NA,"8","academic","zs","175306"
"4305",1755,"175501",NA,"1","","ko","175506"
"4306",1757,"175701",NA,"3","","ms","175706"
"4307",1758,"175801",NA,"1","","jc","175806"
"4308",1759,"175901",NA,"1","","krf","175906"
"4309",1760,"176001",10,"1","","bm","176006"
"4310",1762,"176201",NA,"1","","mother ","176206"
"4311",1763,"176301",NA,"1","","mom","176306"
"4312",1764,"176401",NA,"1","","bg","176406"
"4313",1766,"176601",3,"1","","km","176606"
"4314",1770,"177001",NA,"1","","dc","177006"
"4315",1771,"177101",10,"1","","sl","177106"
"4316",1772,"177201",NA,"1","","sc","177206"
"4317",1774,"177401",NA,"8","academic","cc","177406"
"4318",1775,"177501",10,"8","academic","sh","177506"
"4319",1776,"177601",NA,"1","","kp","177606"
"4320",1778,"177801",NA,"7","","eh","177806"
"4321",1781,"178101",NA,"1","","st","178106"
"4322",1783,"178301",NA,"1","","rb","178306"
"4323",1784,"178401",NA,"1","","rb","178406"
"4324",1785,"178501",2,"1","","sb","178506"
"4325",1811,"181101",NA,"1","","jp","181106"
"4326",1812,"181201",0,"1","","aa","181206"
"4327",1813,"181301",NA,"1","","jr","181306"
"4328",1815,"181501",-3,"1","","as","181506"
"4329",1816,"181601",NA,"1","","as","181606"
"4330",1817,"181701",10,"1","","rm","181706"
"4331",1818,"181801",7,"4","","yvonne meaux","181806"
"4332",1819,"181901",10,"4","","yvonne meaux","181906"
"4333",1821,"182101",0,"6","","dd","182106"
"4334",1822,"182201",4,"3","","bl","182206"
"4335",1823,"182301",NA,"5","","md","182306"
"4336",1824,"182401",NA,"1","","bc","182406"
"4337",1829,"182901",NA,"1","","ab","182906"
"4338",1830,"183001",NA,"5","","ybf","183006"
"4339",1831,"183101",NA,"1","","mg","183106"
"4340",1832,"183201",NA,"1","","jr","183206"
"4341",1833,"183301",NA,"1","","ar","183306"
"4342",1834,"183401",9,"1","","cl","183406"
"4343",1837,"183701",NA,"1","","uj","183706"
"4344",1838,"183801",NA,"5","","djh","183806"
"4345",1839,"183901",10,"4","","lt","183906"
"4346",1841,"184101",NA,"1","","do","184106"
"4347",1842,"184201",3,"4","","ls","184206"
"4348",1843,"184301",8,"1","","yl","184306"
"4349",1845,"184501",10,"3","","cf","184506"
"4350",1846,"184601",10,"1","","sb","184606"
"4351",1847,"184701",10,"1","","r.g","184706"
"4352",1848,"184801",4,"1","","ph","184806"
"4353",1849,"184901",NA,"1","","cm","184906"
"4354",1851,"185101",10,"1","","mom/tt","185106"
"4355",1852,"185201",4,"3","","zc","185206"
"4356",1855,"185501",10,"1","","hl","185506"
"4357",1859,"185901",10,"1","","ty","185906"
"4358",1860,"186001",3,"1","","lb","186006"
"4359",1862,"186201",9,"5","","jb","186206"
"4360",1863,"186301",NA,"1","","keith richardson","186306"
"4361",1864,"186401",NA,"1","","nl","186406"
"4362",1868,"186801",10,"1","","kt","186806"
"4363",1869,"186901",NA,"3","","ed","186906"
"4364",1871,"187101",NA,"1","","eg","187106"
"4365",1874,"187401",6,"1","","jr","187406"
"4366",1875,"187501",NA,"1","","ac","187506"
"4367",1877,"187701",NA,"5","","de","187706"
"4368",1878,"187801",10,"5","","mj","187806"
"4369",1880,"188001",NA,"1","","sb","188006"
"4370",1884,"188401",10,"1","","ja","188406"
"4371",1885,"188501",NA,"1","","dl","188506"
"4372",1886,"188601",NA,"1","","tb","188606"
"4373",1887,"188701",NA,"1","","mc","188706"
"4374",1888,"188801",NA,"1","","cda","188806"
"4375",1891,"189101",NA,"8","academic","jo","189106"
"4376",1894,"189401",NA,"1","","je","189406"
"4377",1897,"189701",0,"1","","e.s","189706"
"4378",1898,"189801",NA,"1","","kg","189806"
"4379",1905,"190501",NA,"8","academic","matika ","190506"
"4380",1908,"190801",10,"1","","cl","190806"
"4381",1910,"191001",NA,"1","","lcs","191006"
"4382",1912,"191201",8,"1","","mm","191206"
"4383",1916,"191601",10,"1","","nns","191606"
"4384",1918,"191801",NA,"8","academic","jr","191806"
"4385",1919,"191901",8,"1","","dp","191906"
